airport_icao
SBFL
SBUL
SBPA
LPPT
SBGR
SBNF
SBBR
SNTF
SBBW
SBCP
SBTF
SBMQ
SBAC
SBVC
SWKQ
SCEL
SWJI
SBIL
SBRP
SWLC
SBUR
SBCH
SBPJ
SBSN
SSKW
SBDB
SBPS
SSZW
SBCN
SBTD
SBPO
SWEI
ZSQD
SPJC
MMMX
SWKN
SBGL
SBCF
SBRJ
KFLL
SAEZ
SBSR
SBMO
SWSI
SBAT
SBCA
SBMA
SBAE
SBLE
MGGT
SNCP
SULS
ZBAA
SLVR
MPTO
MSLP
TNCC
KORD
SBRF
SBKP
SBVT
SBHT
SBSM
SNBR
SBGV
SBCY
SBIP
SBTT
SBCB
SBSO
SBAU
SBLJ
SNVB
SBPB
SAAR
SAZS
SBME
SBTC
SBBH
SBGO
SUMU
SBLO
SBPL
SBEG
SBUF
SBCX
SBJV
SBTG
SBUG
SBCJ
SBQV
SOCA
SACO
SBPG
SSGG
LFPO
SNGV
SEGU
SBSG
SBKG
SBCT
SBPK
SBMK
SBMG
SBBE
SBDO
SBNM
SBPF
SBRD
SBJP
SBVG
SBSI
EBBR
SBUA
EHAM
KPVG
SBCZ
SBSV
SBJU
SBTE
SBVH
SBAR
SBBV
SBCR
SBDN
SBML
SBJA
KMCO
SBFE
SBSJ
LPPR
SDIY
SWPI
SBIH
SBAQ
TJSJ
SBFZ
SBSP
SBPV
SBSL
SBFN
SBFI
SBCG
SBIZ
SBZM
SBJI
SBJE
SNDV
SBAX
SBMS
SNGI
SBPP
SBTB
SBRB
ZSHC
SSPB
SNPD
