airport_icao,airport_iata,airport_name,latitude,longitude,country_iso,country
SBNM,GEL,Sepe Tiaraju,-28.28342,-54.165612,BR,Brazil
SBPA,POA,Salgado Filho International Airport,-29.995268,-51.16748,BR,Brazil
SBPB,PHB,Santos Dumont,-2.891667,-41.738335,BR,Brazil
SBPF,PFB,Passo Fundo Airport,-28.243524,-52.326699,BR,Brazil
SBPG,PGZ,Comte Antonio Amilton Beraldo Airport,-25.083332,-50.15,BR,Brazil
SBPJ,PMW,Palmas Airport,-10.241667,-48.35278,BR,Brazil
SBPK,PET,Federal Airport,-31.718056,-52.324444,BR,Brazil
SBPL,PNZ,Petrolina International Airport,-9.393333,-40.490555,BR,Brazil
SBPO,PTO,Pato Branco,-26.216994,-52.694226,BR,Brazil
SBPP,PMG,International,-22.55,-55.7,BR,Brazil
SBPS,BPS,Porto Seguro Airport,-16.438984,-39.083367,BR,Brazil
SBPV,PVH,Porto Velho International Airport,-8.709903,-63.900494,BR,Brazil
SBRB,RBR,Pres. Medici Airport,-9.966667,-67.8,BR,Brazil
SBRD,ROO,Rondonopolis Airport,-16.433332,-54.716667,BR,Brazil
SBRF,REC,Guararapes-Gilberto Freyre International Airport,-8.125678,-34.922718,BR,Brazil
SBRJ,SDU,Santos Dumont Airport,-22.910444,-43.164186,BR,Brazil
SBRP,RAO,Dr. Leite Lopes State Airport,-21.135834,-47.773335,BR,Brazil
SBSG,NAT,Sao Goncalo do Amarante-Governador Aluizio Alves Intl Airport,-5.916787,-35.250244,BR,Brazil
SBSI,OPS,Sinop Airport,-11.885074,-55.585581,BR,Brazil
SBSJ,SJK,Sao Jose Dos Campos,-23.183332,-46.11667,BR,Brazil
SBSL,SLZ,Marechal Cunha Machado International Airport,-2.588991,-44.239408,BR,Brazil
SBSM,RIA,Santa Maria Airport,-29.710556,-53.6875,BR,Brazil
SBSN,STM,Santarem-Maestro Wilson Fonseca Airport,-2.427139,-54.804456,BR,Brazil
SBSO,SMT,Sun Moon Lake,23.883333,120.933334,TW,Taiwan
SBSP,CGH,Sao Paulo/Congonhas Airport,-23.626902,-46.659557,BR,Brazil
SBSR,SJP,Sao Jose do Rio Preto Airport,-20.817315,-49.408468,BR,Brazil
SBSV,SSA,Deputado Luis Eduardo Magalhaes International Airport,-12.91102,-38.334975,BR,Brazil
SBTB,TMT,Trombetas,-1.916667,-55.583332,BR,Brazil
SBTC,UNA,Una,-15.353333,-38.997223,BR,Brazil
SBTD,TOW,Toledo,-24.69861,-53.69611,BR,Brazil
SBTE,THE,Teresina Airport,-5.059874,-42.82351,BR,Brazil
SBTF,TFF,Tefe Airport,-3.382404,-64.724608,BR,Brazil
SBTG,TJL,Três Lagoas Airport,-20.754444,-51.683889,BR,Brazil
SBTT,TBT,Tabatinga International Airport,-4.233333,-69.933334,BR,Brazil
SBUA,SJL,Da Cachoeira,-0.148311,-66.985573,BR,Brazil
SBUF,PAV,Paulo Afonso Airport,-9.400583,-38.250026,BR,Brazil
SBUG,URG,Ruben Berta Airport,-29.781668,-57.038334,BR,Brazil
SBUL,UDI,Uberlandia-Ten. Cel. Av. Cesar Bombonato Airport,-18.9,-48.233334,BR,Brazil
SBUR,UBA,Uberaba Airport,-19.776388,-47.958332,BR,Brazil
SBVC,VDC,Vitoria Da Conquista Airport,-14.864508,-40.862789,BR,Brazil
SBVG,VAG,Major-Brigadeiro Trompowsky Airport,-21.55,-45.433334,BR,Brazil
SBVH,BVH,Vilhena Airport,-12.694082,-60.098754,BR,Brazil
SBVT,VIX,Eurico de Aguiar Salles Airport,-20.256093,-40.281357,BR,Brazil
SBZM,IZA,Zona da Mata Regional Airport,-21.513056,-43.173058,BR,Brazil
SCEL,SCL,Arturo Merino Benitez Airport,-33.397175,-70.79382,CL,Chile
SDIY,FEC,Feira De Santana,-12.200134,-38.908418,BR,Brazil
SEGU,GYE,Jose Joaquin de Olmedo Airport,-2.142654,-79.88032,EC,Ecuador
SLVR,VVI,Viru Viru International Airport,-17.659481,-63.138466,BO,Bolivia
SNBR,BRA,Barreiras Airport,-12.079481,-45.009705,BR,Brazil
SNCP,EEA,Aeroporto Regional do Planalto Serrano,-27.631949,-50.349634,BR,Brazil
