IATACode,ICAOCode,Model,Aircraft_Manufacturer,WingType,Type,Manufacturer
M81,MD81,McDonnell Douglas MD-81,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
M87,MD87,McDonnell Douglas MD-87,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
MIH,MI8,MIL Mi-8 / Mi-17 / Mi-171 / Mil-172,Mil Moscow Helicopter Plant,Rotary Wing,Helicopter,Mil Moscow Helicopter Plant
BNT,TRIS,Pilatus Britten-Norman BN-2A Mk III Trislander,Britten-Norman,Fixed Wing,Airplane,Britten-Norman
M90,MD90,McDonnell Douglas MD-90,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
M82,MD82,McDonnell Douglas MD-82,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
N/A,P28A,Piper PA-28 (up to 180??hp),Piper Aircraft,Fixed Wing,Airplane,Piper Aircraft
YS1,YS11,NAMC YS-11,Nihon Aircraft Manufacturing Corporation,Fixed Wing,Airplane,Nihon Aircraft Manufacturing Corporation
PL2,PC12,Pilatus PC-12,Pilatus Aircraft,Fixed Wing,Airplane,Pilatus Aircraft
N/A,PA44,Piper PA-44 Seminole,Piper Aircraft,Fixed Wing,Airplane,Piper Aircraft
MD9,EXPL,MD Helicopters MD900 Explorer,MD Helicopters,Rotary Wing,Helicopter,MD Helicopters
PN6,P68,Partenavia P.68,Vulcanair,Fixed Wing,Airplane,Vulcanair
PL6,PC6T,Pilatus PC-6 Turbo Porter,Pilatus Aircraft,Fixed Wing,Airplane,Pilatus Aircraft
PAG,PA46,Piper PA-46,Piper Aircraft,Fixed Wing,Airplane,Piper Aircraft
ATL,ATL,Robin ATL,Avions Robin,Fixed Wing,Airplane,Avions Robin
CNT,F406,Reims-Cessna F406 Caravan II,Cessna,Fixed Wing,Airplane,Cessna
N/A,PIVI,Pipistrel Virus,Pipistrel,Fixed Wing,Airplane,Pipistrel
N/A,PITA,Pipistrel Taurus,Pipistrel,Fixed Wing,Airplane,Pipistrel
N/A,R200,"Robin HR200/R2000 series, Alpha160A",Avions Robin,Fixed Wing,Airplane,Avions Robin
SF3,SF34,Saab SF340A/B,Saab,Fixed Wing,Airplane,Saab
SHB,BELF,Shorts SC-5 Belfast,Short Brothers,Fixed Wing,Airplane,Short Brothers
SHS,SC7,Shorts SC-7 Skyvan,Short Brothers,Fixed Wing,Airplane,Short Brothers
S58,S58T,Sikorsky S-58T,Sikorsky,Rotary Wing,Helicopter,Sikorsky
S61,S61,Sikorsky S-61,Sikorsky,Rotary Wing,Helicopter,Sikorsky
S76,S76,Sikorsky S-76,Sikorsky,Rotary Wing,Helicopter,Sikorsky
SU9,SU95,Sukhoi Superjet 100-95,Sukhoi,Fixed Wing,Airplane,Sukhoi
N/A,TRF1,Team Rocket F1,Team Rocket,Fixed Wing,Airplane,Team Rocket
N/A,SIRA,Tecnam P2002 Sierra,Tecnam,Fixed Wing,Airplane,Tecnam
N/A,TWEN,Tecnam P2010,Tecnam,Fixed Wing,Airplane,Tecnam
TU3,T134,Tupolev Tu-134,Tupolev,Fixed Wing,Airplane,Tupolev
N/A,ECHO,Tecnam P92 Echo / P92 Eaglet / P92 SeaSky,Tecnam,Fixed Wing,Airplane,Tecnam
T12,P212,Tecnam P2012 Traveller,Tecnam,Fixed Wing,Airplane,Tecnam
YK2,YK42,Yakovlev Yak-42,Yakovlev,Fixed Wing,Airplane,Yakovlev
S20,SB20,Saab 2000,Saab,Fixed Wing,Airplane,Saab
SH3,SH33,Shorts SD.330,Short Brothers,Fixed Wing,Airplane,Short Brothers
TU5,T154,Tupolev Tu-154,Tupolev,Fixed Wing,Airplane,Tupolev
N/A,T144,Tupolev Tu-144,Tupolev,Fixed Wing,Airplane,Tupolev
S92,S92,Sikorsky S-92,Sikorsky,Rotary Wing,Helicopter,Sikorsky
SH6,SH36,Shorts SD.360,Short Brothers,Fixed Wing,Airplane,Short Brothers
N/A,P06T,Tecnam P2006T,Tecnam,Fixed Wing,Airplane,Tecnam
N/A,TB20,Socata TB-20 Trinidad,Socata,Fixed Wing,Airplane,Socata
N/A,GOLF,Tecnam P96,Tecnam,Fixed Wing,Airplane,Tecnam
N/A,P208,Tecnam P2008,Tecnam,Fixed Wing,Airplane,Tecnam
T20,T204,Tupolev Tu-204 / Tu-214,Tupolev,Fixed Wing,Airplane,Tupolev
N/A,TL20,TL Ultralight TL-96 Star / TL-2000 Sting,TL Ultralight,Fixed Wing,Airplane,TL Ultralight
YK4,YK40,Yakovlev Yak-40,Yakovlev,Fixed Wing,Airplane,Yakovlev
